time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1357847278.20310712,-40699.92179248,0.00000000,-nan,0.00000000,-40699.92179248,0.000000,0.000000
1357847278.30320001,-40700.19458411,0.00000000,-nan,0.00000000,-40700.46737573,0.000000,0.000000
1357847278.80363703,-40700.30373332,0.00000000,-nan,0.00000000,-40700.52203174,0.000000,0.000000
1357847278.90372896,-40700.38559652,0.00000000,-nan,0.00000000,-40700.63118613,0.000000,0.000000
1357847279.00382090,-40700.45477421,0.00000000,-nan,0.00000000,-40700.73148496,0.000000,0.000000
1357847279.10391307,-40700.51777530,0.00000000,-nan,0.00000000,-40700.83278078,0.000000,0.000000
1357847279.20399690,-40700.57689152,0.00000000,-nan,0.00000000,-40700.93158884,0.000000,0.000000
1357847279.30409002,-40700.63370700,0.00000000,-nan,0.00000000,-40701.03141532,0.000000,0.000000
1357847279.40416598,-40700.68902123,0.00000000,-nan,0.00000000,-40701.13153508,0.000000,0.000000
1357847279.50425792,-40700.74324260,0.00000000,-nan,0.00000000,-40701.23123495,0.000000,0.000000
1357847279.60435009,-40700.79675444,0.00000000,-nan,0.00000000,-40701.33187284,0.000000,0.000000
1357847279.70444202,-40700.84892596,0.00000000,-nan,0.00000000,-40701.42281264,0.000000,0.000000
1357847279.80894804,-40700.90216983,0.00000000,-nan,0.00000000,-40701.54109635,0.000000,0.000000
1357847279.90903997,-40700.95507998,0.00000000,-nan,0.00000000,-40701.64291192,0.000000,0.000000
1357847280.00911903,-40701.00751045,0.00000000,-nan,0.00000000,-40701.74153700,0.000000,0.000000
1357847280.10921097,-40701.05908665,0.00000000,-nan,0.00000000,-40701.83272956,0.000000,0.000000
1357847280.20930195,-40701.11038318,0.00000000,-nan,0.00000000,-40701.93112767,0.000000,0.000000
1357847280.30939507,-40701.16154668,0.00000000,-nan,0.00000000,-40702.03132630,0.000000,0.000000
1357847280.40947700,-40701.21258365,0.00000000,-nan,0.00000000,-40702.13124899,0.000000,0.000000
1357847280.50956893,-40701.26352236,0.00000000,-nan,0.00000000,-40702.23135789,0.000000,0.000000
1357847280.60964894,-40701.31436066,0.00000000,-nan,0.00000000,-40702.33112660,0.000000,0.000000
1357847280.70974112,-40701.36519805,0.00000000,-nan,0.00000000,-40702.43278325,0.000000,0.000000
1357847280.80983210,-40701.41588431,0.00000000,-nan,0.00000000,-40702.53098206,0.000000,0.000000
1357847280.90992403,-40701.46652515,0.00000000,-nan,0.00000000,-40702.63126450,0.000000,0.000000
1357847281.01000690,-40701.51711640,0.00000000,-nan,0.00000000,-40702.73130652,0.000000,0.000000
